tlGeneral Log File Initialized at: 1:41:26:22
1:41:29:608	 - **CRITICAL INFO**	 - Getting Waypoint
1:41:29:938	 - **INFO**	 - Ammotype: aqv
1:41:29:948	 - **INFO**	 - Have 390 arrows/bolts
1:41:33:663	 - **INFO**	 - Ammotype: aqv
1:41:33:703	 - **INFO**	 - Have 390 arrows/bolts
1:41:37:459	 - **INFO**	 - Ammotype: aqv
1:41:37:469	 - **INFO**	 - Have 390 arrows/bolts
1:41:40:523	 - **INFO**	 - Ammotype: aqv
1:41:40:583	 - **INFO**	 - Have 390 arrows/bolts
1:41:43:528	 - **INFO**	 - Ammotype: aqv
1:41:43:558	 - **INFO**	 - Have 386 arrows/bolts
1:41:46:722	 - **INFO**	 - Ammotype: aqv
1:41:46:732	 - **INFO**	 - Have 381 arrows/bolts
1:41:49:726	 - **INFO**	 - Ammotype: aqv
1:41:49:736	 - **INFO**	 - Have 376 arrows/bolts
1:41:52:841	 - **INFO**	 - Ammotype: aqv
1:41:52:901	 - **INFO**	 - Have 371 arrows/bolts
1:41:55:855	 - **INFO**	 - Ammotype: aqv
1:41:55:925	 - **INFO**	 - Have 367 arrows/bolts
1:41:57:828	 - **CRITICAL INFO**	 - found item to pickup: Arrows
1:41:58:850	 - **INFO**	 - Ammotype: aqv
1:41:58:860	 - **INFO**	 - Have 365 arrows/bolts
1:42:0:862	 - **INFO**	 - Oldamount: 365 | Newamount: 488
1:42:0:873	 - **CRITICAL INFO**	 - found item to pickup: Super Mana Potion
1:42:1:303	 - **INFO**	 - Super Mana Potion 2
1:42:1:784	 - **CRITICAL INFO**	 - found item to pickup: Arrows
1:42:2:24	 - **INFO**	 - Ammotype: aqv
1:42:2:34	 - **INFO**	 - Have 488 arrows/bolts
1:42:5:18	 - **INFO**	 - Ammotype: aqv
1:42:5:69	 - **INFO**	 - Have 488 arrows/bolts
1:42:6:661	 - **INFO**	 - Oldamount: 488 | Newamount: 742
1:42:8:53	 - **INFO**	 - Ammotype: aqv
1:42:8:63	 - **INFO**	 - Have 742 arrows/bolts
